model_name,n_rows,n_countries,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
Ridge_WGI_controls_matched_slog,96,69,0.831359,0.193828,0.591962,0.07197,0.25011,0.126032
OLS_WGI_controls_matched_slog,96,69,0.833397,0.178974,0.591446,0.060783,0.245161,0.104238
Lasso_WGI_controls_matched_slog,96,69,0.837278,0.191613,0.58717,0.075273,0.241564,0.114138
Lasso_WGI_nocontrols_matched_slog,103,74,0.859754,0.222996,0.637653,0.12693,0.224948,0.069062
OLS_WGI_nocontrols_matched_slog,103,74,0.860124,0.222187,0.639055,0.126839,0.224075,0.067148
Ridge_WGI_nocontrols_matched_slog,103,74,0.862818,0.225103,0.637407,0.129931,0.219781,0.071754
OLS_WVS_controls_slog,96,69,0.842657,0.218613,0.582684,0.100696,0.218503,0.203896
Lasso_WVS_controls_slog,96,69,0.851401,0.214746,0.597959,0.096678,0.20743,0.191585
Ridge_WVS_controls_slog,96,69,0.855015,0.215915,0.602755,0.094302,0.199485,0.192527
RF_fixed_WGI_controls_matched_slog,96,69,0.867208,0.173984,0.630265,0.069555,0.179527,0.117988
XGB_fixed_WGI_controls_matched_slog,96,69,0.85536,0.16023,0.644869,0.091159,0.175286,0.230454
RF_fixed_WGI_nocontrols_matched_slog,103,74,0.901668,0.206696,0.660388,0.10723,0.132962,0.105801
RF_fixed_WVS_controls_slog,96,69,0.896451,0.169444,0.676507,0.073528,0.11273,0.16492
OLS_WVS_nocontrols_slog,103,74,0.937816,0.267055,0.680611,0.201477,0.083736,0.124992
Lasso_WVS_nocontrols_slog,103,74,0.937866,0.266853,0.680539,0.201272,0.083585,0.124622
Ridge_WVS_nocontrols_slog,103,74,0.939532,0.258965,0.679809,0.191888,0.07839,0.108232
RF_fixed_WVS_nocontrols_slog,103,74,0.962195,0.241369,0.710818,0.16642,0.023193,0.134872
XGB_fixed_WVS_controls_slog,96,69,0.939508,0.168325,0.719715,0.073068,-0.005593,0.294521
XGB_fixed_WGI_nocontrols_matched_slog,103,74,0.969063,0.174149,0.741018,0.101426,-0.062774,0.373945
XGB_fixed_WVS_nocontrols_slog,103,74,1.139065,0.149716,0.856284,0.068503,-0.461311,0.35385
