model_name,n_rows,n_countries,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
OLS_WGI_nocontrols_max_slog,4937,198,1.1465808382552276,0.019484364895839112,0.795616465562164,0.017145468555306874,0.014370342692558036,0.00946236619520821
OLS_WVS_nocontrols_slog,103,74,0.9378159651689861,0.26705461060214336,0.6806109751650105,0.20147732014576608,0.0837359008141049,0.12499186885425718
OLS_WGI_controls_max_slog,4009,174,1.0169646328717559,0.03977498545399444,0.6954139881561906,0.014228864605500961,0.11275707069892663,0.0182891346702781
OLS_WVS_controls_slog,96,69,0.8426571372738705,0.21861335141120194,0.5826835074658856,0.10069624331203551,0.21850346570238469,0.20389555651906655
Ridge_WGI_nocontrols_max_slog,4937,198,1.1465761143314408,0.019588080579334508,0.7956004421097584,0.017223362448579714,0.014383676238809696,0.009237161501571091
Ridge_WVS_nocontrols_slog,103,74,0.9395317879464198,0.2589650826139701,0.6798089762199625,0.19188776984288855,0.07838984510992406,0.10823238152584884
Ridge_WGI_controls_max_slog,4009,174,1.0171781386994672,0.03964573134552018,0.6952076243579326,0.01410598912866345,0.11238104789410899,0.01800556814370583
Ridge_WVS_controls_slog,96,69,0.8550151309011195,0.21591530957128796,0.602754685023754,0.09430164720351919,0.199484607262515,0.1925270872739455
Lasso_WGI_nocontrols_max_slog,4937,198,1.146587504281651,0.01951892772940287,0.7956178747195025,0.017173739914338085,0.014360653865407103,0.009383975357555672
Lasso_WVS_nocontrols_slog,103,74,0.9378658023945228,0.2668534236419978,0.6805387719812513,0.20127243151441532,0.0835845041305315,0.12462246891021417
Lasso_WGI_controls_max_slog,4009,174,1.0169755582966318,0.039777283163447204,0.6953395704295592,0.014205108117284903,0.1127381348177741,0.018287101862458424
Lasso_WVS_controls_slog,96,69,0.851401139504636,0.21474567528718233,0.5979594908174106,0.09667833713938666,0.20743028731810878,0.1915847238650897
RF_fixed_WGI_nocontrols_max_slog,4937,198,1.1415780807878597,0.018884230849252434,0.7915758411951357,0.0163774164828572,0.022890875536557553,0.013372162815444384
RF_fixed_WVS_nocontrols_slog,103,74,0.9621945648610686,0.24136910841954815,0.7108183687302587,0.16641987462014216,0.02319341551769416,0.13487177483349092
RF_fixed_WGI_controls_max_slog,4009,174,1.016800667010165,0.03784374115515481,0.6959309734924195,0.012533409598131751,0.11290320331138556,0.01945380325900242
RF_fixed_WVS_controls_slog,96,69,0.8964510093497824,0.1694442575975112,0.676506787960577,0.07352782802082536,0.11273000620856162,0.16491994394003587
XGB_fixed_WGI_nocontrols_max_slog,4937,198,1.157517862895586,0.01538658497952949,0.8054903395214753,0.01526351314293141,-0.004886276759170971,0.024527724680537884
XGB_fixed_WVS_nocontrols_slog,103,74,1.1390651533915244,0.1497161654652057,0.8562835756902956,0.0685033173482759,-0.46131120336643006,0.3538497060617889
XGB_fixed_WGI_controls_max_slog,4009,174,0.9996349668988642,0.020855025742096488,0.6711367264621891,0.010779047771842947,0.14139055549692753,0.03257148243478912
XGB_fixed_WVS_controls_slog,96,69,0.9395083008671472,0.16832497612772732,0.719715418223151,0.07306767663046325,-0.005592837306960141,0.29452079558817407
